UNITID,OPEID6,Institution,City,County,Region,Regional Rank,Predominant Award,Sector,Undergraduate Degree-seeking students,ROI: Years to Recoup Net Costs,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Based off of Predominant Credential),ZIP,Latitude,Longitude
479424,41954,Unitek College,Hayward,Alameda,Bay Area,1,Certificate,Private for-profit,326,0.5,"$87,877","$55,401","$27,158","$27,158",94541-7026,37.661039,-122.116059
476799,41954,Unitek College,South San Francisco,San Mateo,Bay Area,2,Certificate,Private for-profit,255,0.5,"$87,877","$55,401","$28,283","$28,283",94080-1005,37.65642,-122.455603
459204,41697,Unitek College,Fremont,Alameda,Bay Area,3,Certificate,Private for-profit,"4,715",0.5,"$79,550","$47,074","$25,719","$25,719",94538,37.50904,-121.961761
459213,41698,Gurnick Academy of Medical Arts,San Jose,Santa Clara,Bay Area,4,Certificate,Private for-profit,"2,844",0.9,"$66,844","$34,368","$30,558","$30,558",95112,37.364294,-121.912991
447810,40033,Blake Austin College,Vacaville,Solano,Bay Area,5,Certificate,Private for-profit,11,3.1,"$42,518","$10,042","$30,926","$30,926",95687,38.378548,-121.945606
438258,9748,Carrington College-Pleasant Hill Campus,Pleasant Hill,Contra Costa,Bay Area,6,Certificate,Private for-profit,430,4.3,"$39,633","$7,157","$30,749","$30,749",94523-1984,37.962649,-122.072153
437936,9748,Carrington College-San Jose,San Jose,Santa Clara,Bay Area,7,Certificate,Private for-profit,680,4.3,"$39,633","$7,157","$31,043","$31,043",95138,37.248411,-121.777062
461829,41800,Cinta Aveda Institute,San Francisco,San Francisco,Bay Area,8,Certificate,Private for-profit,95,4.4,"$34,937","$2,461","$10,821","$10,821",94108-3204,37.790935,-122.404307
246974,9748,Carrington College-San Leandro Campus,San Leandro,Alameda,Bay Area,9,Certificate,Private for-profit,400,4.5,"$39,633","$7,157","$32,368","$32,368",94578-3711,37.699627,-122.12567
115931,21283,Institute for Business and Technology,Santa Clara,Santa Clara,Bay Area,10,Certificate,Private for-profit,609,4.6,"$38,015","$5,539","$25,471","$25,471",95051-1303,37.368642,-121.969541
481960,25594,InterCoast Colleges-Fairfield,Fairfield,Solano,Bay Area,11,Certificate,Private for-profit,139,6.4,"$36,089","$3,613","$23,134","$23,134",94534,38.212134,-122.147995
111717,23328,CET-San Jose,San Jose,Santa Clara,Bay Area,12,Certificate,Private non-profit,175,29.5,"$32,986",$510,"$15,045","$15,045",95110,37.322723,-121.88698
454777,41413,San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,San Francisco,Bay Area,13,Certificate,Private for-profit,202,37.4,"$32,926",$450,"$16,845","$16,845",94103,37.777043,-122.407083
119553,25423,National Holistic Institute,Emeryville,Alameda,Bay Area,14,Certificate,Private for-profit,"1,134",No Economic ROI,"$27,978","-$4,498","$29,199","$29,199",94608-2008,37.841898,-122.287672
461175,41456,International College of Cosmetology,Oakland,Alameda,Bay Area,14,Certificate,Private for-profit,125,No Economic ROI,"$21,099","-$11,377","$1,973","$1,973",94601-3525,37.774887,-122.220803
118994,21858,Moler Barber College,Oakland,Alameda,Bay Area,14,Certificate,Private for-profit,335,No Economic ROI,"$15,204","-$17,272","$22,135","$22,135",94609-2419,37.827075,-122.265352
459231,41752,Paul Mitchell the School-East Bay,Pleasant Hill,Contra Costa,Bay Area,14,Certificate,Private for-profit,212,No Economic ROI,"$29,418","-$3,058","$30,889","$30,889",94523,37.94492,-122.061226
454546,22482,Milan Institute of Cosmetology-Vacaville,Vacaville,Solano,Bay Area,14,Certificate,Private for-profit,234,No Economic ROI,"$22,378","-$10,098","$25,234","$25,234",95688,38.370051,-121.960688
118161,13240,Lytles Redwood Empire Beauty College,Santa Rosa,Sonoma,Bay Area,14,Certificate,Private for-profit,114,No Economic ROI,"$20,358","-$12,118","$24,603","$24,603",95403,38.508385,-122.75777
419183,30977,Central California School of Continuing Education,San Luis Obispo,San Luis Obispo,Central Coast,1,Certificate,Private for-profit,72,1.6,"$41,223","$8,747","$14,364","$14,364",93401,35.262091,-120.64847
111762,23328,CET-Watsonville,Watsonville,Santa Cruz,Central Coast,2,Certificate,Private non-profit,149,3.0,"$32,986",$510,"$1,532","$1,532",95076,36.931833,-121.767991
378105,26023,Central Coast College,Salinas,Monterey,Central Coast,3,Certificate,Private for-profit,490,3.2,"$40,823","$8,347","$26,640","$26,640",93906,36.706345,-121.652394
495961,21207,San Joaquin Valley College-Santa Maria,Santa Maria,Santa Barbara,Central Coast,4,Certificate,Private for-profit,163,3.5,"$38,317","$5,841","$20,549","$20,549",93454-6921,34.937806,-120.433296
381325,23328,CET-Santa Maria,Santa Maria,Santa Barbara,Central Coast,5,Certificate,Private non-profit,125,5.6,"$32,986",$510,"$2,869","$2,869",93458,34.943576,-120.441978
111799,23328,CET-Salinas,Salinas,Monterey,Central Coast,6,Certificate,Private non-profit,187,13.3,"$32,986",$510,"$6,804","$6,804",93906,36.707333,-121.65236
381282,23328,CET-Oxnard,Oxnard,Ventura,Central Coast,7,Certificate,Private non-profit,82,18.7,"$32,986",$510,"$9,534","$9,534",93030,34.194208,-119.18145
468769,23328,CET-Soledad,Soledad,Monterey,Central Coast,8,Certificate,Private non-profit,179,20.3,"$32,986",$510,"$10,377","$10,377",93960-2996,36.41456,-121.316599
454786,41414,Laurus College,San Luis Obispo,San Luis Obispo,Central Coast,9,Associate's,Private for-profit,794,No Economic ROI,"$30,896","-$1,580","$15,693","$31,386",93401,35.2682,-120.669519
441256,36463,Design's School of Cosmetology,Paso Robles,San Luis Obispo,Central Coast,9,Certificate,Private for-profit,93,No Economic ROI,"$23,937","-$8,539","$17,968","$17,968",93446,35.648459,-120.672526
117955,11866,Lu Ross Academy,Ventura,Ventura,Central Coast,9,Certificate,Private for-profit,277,No Economic ROI,"$23,148","-$9,328","$15,711","$15,711",93001-2729,34.278034,-119.293952
118958,7204,Modern Beauty Academy,Oxnard,Ventura,Central Coast,9,Certificate,Private for-profit,62,No Economic ROI,"$22,477","-$9,999","$11,582","$11,582",93030,34.195384,-119.181423
111726,23328,CET-El Centro,El Centro,Imperial,Imperial,1,Certificate,Private non-profit,167,37.7,"$32,986",$510,"$19,211","$19,211",92243,32.790908,-115.549079
489371,25964,Spartan College of Aeronautics and Technology,Riverside,Riverside,Inland Empire,1,Certificate,Private for-profit,261,1.1,"$61,575","$29,099","$32,884","$32,884",92509-8716,33.990127,#REF!
455734,39353,California Nurses Educational Institute,Palm Springs,Riverside,Inland Empire,2,Certificate,Private for-profit,114,1.5,"$46,895","$14,419","$21,278","$21,278",92264,33.816672,-116.490142
