UNITID,OPEID6,Institution,City,County,Region,Sector,Predominant Award,COUNTYFIP,median_earnings_10yr,hs_median_income,Annual Net Price,total_net_price,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change
123509,7713,Skyline College,San Bruno,San Mateo,Bay Area,Public,Associate's,81,55702,30000.0,-1180,-2360,23226.0,25702.0,-0.10161026435890812,-0.09182164812076882,4,4,0
111434,6973,Canada College,Redwood City,San Mateo,Bay Area,Public,Associate's,81,50087,30000.0,10,20,17611.0,20087.0,0.0011356538527056953,0.0009956688405436352,5,5,0
122791,1181,College of San Mateo,San Mateo,San Mateo,Bay Area,Public,Associate's,81,54172,30000.0,1504,3008,21696.0,24172.0,0.13864306784660768,0.12444150256495118,8,10,-2
125499,1338,West Valley College,Saratoga,Santa Clara,Bay Area,Public,Associate's,85,51688,33500.0,1842,3684,19212.0,18188.0,0.19175515302935664,0.20255113261491092,11,17,-6
114938,1202,Gavilan College,Gilroy,Santa Clara,Bay Area,Public,Associate's,85,47169,33500.0,2244,4488,14693.0,13669.0,0.30545157558020825,0.32833418684614823,16,24,-8
113333,4480,De Anza College,Cupertino,Santa Clara,Bay Area,Public,Associate's,85,56596,33500.0,4667,9334,24120.0,23096.0,0.3869817578772803,0.4041392448908902,18,31,-13
366401,30357,Las Positas College,Livermore,Alameda,Bay Area,Public,Associate's,1,51088,27137.0,4175,8350,18612.0,23951.0,0.44863528906082095,0.34862844975157614,20,26,-6
118930,21191,Mission College,Santa Clara,Santa Clara,Bay Area,Public,Associate's,85,50936,33500.0,5198,10396,18460.0,17436.0,0.5631635969664138,0.5962376691901813,27,53,-26
111920,1162,Chabot College,Hayward,Alameda,Bay Area,Public,Associate's,1,48143,27137.0,4616,9232,15667.0,21006.0,0.5892640582115274,0.4394934780538894,28,35,-7
114716,1199,Foothill College,Los Altos Hills,Santa Clara,Bay Area,Public,Certificate,85,57072,33500.0,7549,15098,24596.0,23572.0,0.6138396487233696,0.6405056847106737,29,59,-30
113634,1191,Diablo Valley College,Pleasant Hill,Contra Costa,Bay Area,Public,Associate's,13,51378,25000.0,6142,12284,18902.0,26378.0,0.6498783197545234,0.46569110622488435,31,40,-9
123563,1292,Solano Community College,Fairfield,Solano,Bay Area,Public,Associate's,95,44170,30677.0,3869,7738,11694.0,13493.0,0.6617068582178895,0.5734825465055955,32,50,-18
123013,1287,Santa Rosa Junior College,Santa Rosa,Sonoma,Bay Area,Public,Certificate,97,47224,30200.0,5541,11082,14748.0,17024.0,0.7514239218877136,0.6509633458646616,39,61,-22
112190,4502,City College of San Francisco,San Francisco,San Francisco,Bay Area,Public,Certificate,75,45805,22908.0,7272,14544,13329.0,22897.0,1.0911546252532074,0.6351923832816526,51,58,-7
117894,10340,Los Medanos College,Pittsburg,Contra Costa,Bay Area,Public,Associate's,13,42454,25000.0,5692,11384,9978.0,17454.0,1.1409100020044096,0.6522287154806921,55,62,-7
114266,12452,Evergreen Valley College,San Jose,Santa Clara,Bay Area,Public,Associate's,85,53077,33500.0,12591,25182,20601.0,19577.0,1.2223678462210572,1.286305358328651,57,91,-34
120290,4481,Ohlone College,Fremont,Alameda,Bay Area,Public,Associate's,1,54278,27137.0,14130,28260,21802.0,27141.0,1.296211356756261,1.0412291367304078,60,71,-11
112826,1190,Contra Costa College,San Pablo,Contra Costa,Bay Area,Public,Certificate,13,40850,25000.0,6522,13044,8374.0,15850.0,1.5576785287795558,0.8229652996845426,63,66,-3
119331,1247,Napa Valley College,Napa,Napa,Bay Area,Public,Associate's,55,49517,25099.0,14046,28092,17041.0,24418.0,1.6484948066428027,1.150462773363912,69,82,-13
108667,6720,College of Alameda,Alameda,Alameda,Bay Area,Public,Associate's,1,42563,27137.0,9280,18560,10087.0,15426.0,1.8399920689997027,1.2031634902113315,74,85,-11
125170,22427,Berkeley City College,Berkeley,Alameda,Bay Area,Public,Associate's,1,41217,27137.0,8957,17914,8741.0,14080.0,2.049422262898982,1.2723011363636363,83,88,-5
122746,1282,San Jose City College,San Jose,Santa Clara,Bay Area,Public,Certificate,85,46215,33500.0,16658,33316,13739.0,12715.0,2.424921755586287,2.62021234762092,92,111,-19
118772,1267,Merritt College,Oakland,Alameda,Bay Area,Public,Associate's,1,44392,27137.0,14742,29484,11916.0,17255.0,2.474320241691843,1.7087221095334686,94,97,-3
118347,1178,College of Marin,Kentfield,Marin,Bay Area,Public,Associate's,41,42654,26031.0,15517,31034,10178.0,16623.0,3.049125564943997,1.8669313601636288,98,103,-5
382258,30624,Mt. Diablo Adult Education-Mt. Diablo USD,Concord,Contra Costa,Bay Area,Public,Certificate,13,40175,25000.0,12260,24520,7699.0,15175.0,3.1848291985972206,1.615815485996705,99,96,3
117247,1266,Laney College,Oakland,Alameda,Bay Area,Public,Associate's,1,37282,27137.0,15805,31610,4806.0,10145.0,6.57719517270079,3.1158206012814196,114,113,1
119137,7115,Moorpark College,Moorpark,Ventura,Central Coast,Public,Associate's,111,49044,28138.0,742,1484,16568.0,20906.0,0.0895702559150169,0.0709844063905099,7,7,0
120421,12842,Oxnard College,Oxnard,Ventura,Central Coast,Public,Associate's,111,41393,28138.0,659,1318,8917.0,13255.0,0.14780755859594033,0.0994341757827235,9,9,0
