UNITID,OPEID6,Institution,City,County,Region,Regional Rank,ROI: Years to Recoup Net Costs,Predominant Award,Sector,Undergraduate Degree-seeking students,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Two Years),ZIP,Latitude,Longitude,VALUE,DENOM
123509,7713,Skyline College,San Bruno,San Mateo,Bay Area,1,0,Associate's,Public,"7,132","$55,702 ","$23,226 ","($1,180)","($2,360)",94066-1698,37.63042,-122.467335,5922,10706
111434,6973,Canada College,Redwood City,San Mateo,Bay Area,2,0,Associate's,Public,"4,878","$50,087 ","$17,611 ",$10 ,$20 ,94061-1099,37.44877,-122.265398,4546,8026
122791,1181,College of San Mateo,San Mateo,San Mateo,Bay Area,3,0.1,Associate's,Public,"7,359","$54,172 ","$21,696 ","$1,504 ","$3,008 ",94402-3784,37.535698,-122.334801,5754,11121
125499,1338,West Valley College,Saratoga,Santa Clara,Bay Area,4,0.2,Associate's,Public,"6,086","$51,688 ","$19,212 ","$1,842 ","$3,684 ",95070,37.26398,-122.008324,4248,10764
114938,1202,Gavilan College,Gilroy,Santa Clara,Bay Area,5,0.3,Associate's,Public,"4,410","$47,169 ","$14,693 ","$2,244 ","$4,488 ",95020,36.972627,-121.569842,3637,6043
113333,4480,De Anza College,Cupertino,Santa Clara,Bay Area,6,0.4,Associate's,Public,"14,953","$56,596 ","$24,120 ","$4,667 ","$9,334 ",95014,37.319914,-122.045783,12032,23013
366401,30357,Las Positas College,Livermore,Alameda,Bay Area,7,0.4,Associate's,Public,"6,766","$51,088 ","$18,612 ","$4,175 ","$8,350 ",94551-7650,37.710873,-121.80058,7604,8558
118930,21191,Mission College,Santa Clara,Santa Clara,Bay Area,8,0.6,Associate's,Public,"5,557","$50,936 ","$18,460 ","$5,198 ","$10,396 ",95054-1897,37.391935,-121.980783,5093,8937
111920,1162,Chabot College,Hayward,Alameda,Bay Area,9,0.6,Associate's,Public,"10,861","$48,143 ","$15,667 ","$4,616 ","$9,232 ",94545,37.642458,-122.105636,11573,13197
114716,1199,Foothill College,Los Altos Hills,Santa Clara,Bay Area,10,0.6,Certificate,Public,"10,922","$57,072 ","$24,596 ","$7,549 ","$15,098 ",94022,37.361655,-122.127964,6937,16185
113634,1191,Diablo Valley College,Pleasant Hill,Contra Costa,Bay Area,11,0.6,Associate's,Public,"14,734","$51,378 ","$18,902 ","$6,142 ","$12,284 ",94523,37.968516,-122.073142,12923,18534
123563,1292,Solano Community College,Fairfield,Solano,Bay Area,12,0.7,Associate's,Public,"7,688","$44,170 ","$11,694 ","$3,869 ","$7,738 ",94534-3197,38.235881,-122.122368,7710,10421
123013,1287,Santa Rosa Junior College,Santa Rosa,Sonoma,Bay Area,13,0.8,Certificate,Public,"14,327","$47,224 ","$14,748 ","$5,541 ","$11,082 ",95401-4395,38.45709,-122.718974,11433,20008
112190,4502,City College of San Francisco,San Francisco,San Francisco,Bay Area,14,1.1,Certificate,Public,"16,060","$45,805 ","$13,329 ","$7,272 ","$14,544 ",94112-1898,37.725953,-122.451155,13116,22077
117894,10340,Los Medanos College,Pittsburg,Contra Costa,Bay Area,15,1.1,Associate's,Public,"7,100","$42,454 ","$9,978 ","$5,692 ","$11,384 ",94565,38.006474,-121.860967,6939,9145
114266,12452,Evergreen Valley College,San Jose,Santa Clara,Bay Area,16,1.2,Associate's,Public,"7,670","$53,077 ","$20,601 ","$12,591 ","$25,182 ",95135-1598,37.30167,-121.76561,7457,11638
120290,4481,Ohlone College,Fremont,Alameda,Bay Area,17,1.3,Associate's,Public,"6,958","$54,278 ","$21,802 ","$14,130 ","$28,260 ",94539-0390,37.529931,-121.911795,4469,9792
112826,1190,Contra Costa College,San Pablo,Contra Costa,Bay Area,18,1.6,Certificate,Public,"4,805","$40,850 ","$8,374 ","$6,522 ","$13,044 ",94806,37.969381,-122.337377,5374,7168
119331,1247,Napa Valley College,Napa,Napa,Bay Area,19,1.6,Associate's,Public,"3,205","$49,517 ","$17,041 ","$14,046 ","$28,092 ",94558-6236,38.274081,-122.274381,2771,4300
108667,6720,College of Alameda,Alameda,Alameda,Bay Area,20,1.8,Associate's,Public,"4,274","$42,563 ","$10,087 ","$9,280 ","$18,560 ",94501,37.781017,-122.279303,5549,6853
125170,22427,Berkeley City College,Berkeley,Alameda,Bay Area,21,2,Associate's,Public,"4,541","$41,217 ","$8,741 ","$8,957 ","$17,914 ",94704,37.869769,-122.269877,5326,7019
122746,1282,San Jose City College,San Jose,Santa Clara,Bay Area,22,2.4,Certificate,Public,"7,039","$46,215 ","$13,739 ","$16,658 ","$33,316 ",95128-2798,37.315827,-121.926185,6645,10139
118772,1267,Merritt College,Oakland,Alameda,Bay Area,23,2.5,Associate's,Public,"5,153","$44,392 ","$11,916 ","$14,742 ","$29,484 ",94619-3196,37.789088,-122.167335,6099,7408
118347,1178,College of Marin,Kentfield,Marin,Bay Area,24,3,Associate's,Public,"3,928","$42,654 ","$10,178 ","$15,517 ","$31,034 ",94904-2590,37.951918,-122.548758,2255,5415
382258,30624,Mt. Diablo Adult Education-Mt. Diablo USD,Concord,Contra Costa,Bay Area,25,3.2,Certificate,Public,153,"$40,175 ","$7,699 ","$12,260 ","$24,520 ",94518-1199,37.968852,-122.026805,,
117247,1266,Laney College,Oakland,Alameda,Bay Area,26,6.6,Associate's,Public,"7,158","$37,282 ","$4,806 ","$15,805 ","$31,610 ",94607,37.797257,-122.26283,7879,9775
119137,7115,Moorpark College,Moorpark,Ventura,Central Coast,1,0.1,Associate's,Public,"12,011","$49,044 ","$16,568 ",$742 ,"$1,484 ",93021-1695,34.301146,-118.834528,9556,16396
120421,12842,Oxnard College,Oxnard,Ventura,Central Coast,2,0.1,Associate's,Public,"6,059","$41,393 ","$8,917 ",$659 ,"$1,318 ",93033-6699,34.166104,-119.157604,6911,8697
125028,1334,Ventura College,Ventura,Ventura,Central Coast,3,0.4,Associate's,Public,"9,971","$43,430 ","$10,954 ","$2,257 ","$4,514 ",93003-3872,34.277393,-119.230604,10284,14146
115393,1209,Hartnell College,Salinas,Monterey,Central Coast,4,0.5,Associate's,Public,"7,153","$44,316 ","$11,840 ","$2,895 ","$5,790 ",93901,36.675091,-121.666054,7382,9083
108807,1111,Allan Hancock College,Santa Maria,Santa Barbara,Central Coast,5,0.9,Associate's,Public,"7,812","$42,786 ","$10,310 ","$4,638 ","$9,276 ",93454-6399,34.943716,-120.421144,8440,10736
122889,1285,Santa Barbara City College,Santa Barbara,Santa Barbara,Central Coast,6,1.3,Associate's,Public,"10,070","$47,647 ","$15,171 ","$10,029 ","$20,058 ",93109-2394,34.406788,-119.698045,10983,17813
113193,1192,Cuesta College,San Luis Obispo,San Luis Obispo,Central Coast,7,1.9,Certificate,Public,"6,879","$46,047 ","$13,571 ","$12,898 ","$25,796 ",93403-8106,35.331276,-120.742235,5349,9254
110334,1124,Cabrillo College,Aptos,Santa Cruz,Central Coast,8,2.3,Associate's,Public,"7,404","$44,114 ","$11,638 ","$13,328 ","$26,656 ",95003,36.989448,-121.924797,6107,10103
119067,1242,Monterey Peninsula College,Monterey,Monterey,Central Coast,9,2.8,Associate's,Public,"5,759","$42,176 ","$9,700 ","$13,498 ","$26,996 ",93940-4799,36.590558,-121.884931,4624,7172
417123,30847,Ventura Adult and Continuing Education,Ventura,Ventura,Central Coast,10,3.5,Certificate,Public,52,"$38,232 ","$5,756 ","$9,949 ","$19,898 ",93003-0000,34.256061,-119.219561,,
112561,7707,Columbia College,Sonora,Tuolumne,Central Sierra,1,4.7,Associate's,Public,"1,917","$39,035 ","$6,559 ","$15,468 ","$30,936 ",95370,38.030367,-120.388385,1870,2412
115861,1214,Imperial Valley College,Imperial,Imperial,Imperial,1,1.7,Associate's,Public,"6,881","$34,487 ","$2,011 ","$1,697 ","$3,394 ",92251-0158,32.827209,-115.503563,7840,9030
460394,41735,Moreno Valley College,Moreno Valley,Riverside,Inland Empire,1,0.2,Associate's,Public,"8,292","$52,133 ","$19,657 ","$1,996 ","$3,992 ",92551,33.88744,-117.20271,10471,13155
460464,41761,Norco College,Norco,Riverside,Inland Empire,2,0.3,Associate's,Public,"8,359","$51,206 ","$18,730 ","$2,845 ","$5,690 ",92860,33.917387,-117.570212,10378,13442
121901,1270,Riverside City College,Riverside,Riverside,Inland Empire,3,0.9,Associate's,Public,"17,361","$41,091 ","$8,615 ","$4,026 ","$8,052 ",92506,33.970918,-117.384323,20097,24974
111939,1163,Chaffey College,Rancho Cucamonga,San Bernardino,Inland Empire,4,1.1,Associate's,Public,"13,568","$42,975 ","$10,499 ","$5,743 ","$11,486 ",91737-3002,34.147663,-117.573932,17257,23324
125091,1335,Victor Valley College,Victorville,San Bernardino,Inland Empire,5,1.8,Certificate,Public,"12,107","$36,119 ","$3,643 ","$3,228 ","$6,456 ",92395-5850,34.472231,-117.261456,9382,14968
113111,9272,Crafton Hills College,Yucaipa,San Bernardino,Inland Empire,6,2.1,Associate's,Public,"5,074","$42,553 ","$10,077 ","$10,655 ","$21,310 ",92339-1799,34.039178,-117.101173,4770,7016
123527,1272,San Bernardino Valley College,San Bernardino,San Bernardino,Inland Empire,7,2.3,Certificate,Public,"11,106","$39,676 ","$7,200 ","$8,234 ","$16,468 ",92410-2798,34.086353,-117.313248,11733,15121
119216,1246,Mt San Jacinto Community College District,San Jacinto,Riverside,Inland Empire,8,2.4,Associate's,Public,"14,859","$38,319 ","$5,843 ","$7,098 ","$14,196 ",92583-2399,33.806748,-116.971169,15585,22737
449357,39993,Beaumont Adult School,Beaumont,Riverside,Inland Empire,9,3.3,Certificate,Public,101,"$50,801 ","$18,325 ","$30,407 ","$60,814 ",92223,33.951365,-116.964728,,
113573,1182,College of the Desert,Palm Desert,Riverside,Inland Empire,10,3.6,Associate's,Public,"8,900","$39,020 ","$6,544 ","$11,812 ","$23,624 ",92260,33.732108,-116.388271,9468,12265
