OPEID6,Institution,County,Sector,median_earnings_10yr,total_net_price,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income
1111,Allan Hancock College,Santa Barbara,Public,42786,4638,17846.56,21548.0,0.25988201647824566,0.2152403935400037,48.0,35.0,-13.0,21238.0
1113,Antelope Valley Community College District,Los Angeles,Public,36526,8263,11586.560000000001,12928.0,0.7131538610251877,0.6391553217821783,109.0,103.0,-6.0,23598.0
1118,Bakersfield College,Kern,Public,37291,4751,12351.560000000001,16291.0,0.3846477691886692,0.29163341722423425,67.0,55.0,-12.0,21000.0
1119,Barstow Community College,San Bernardino,Public,35104,12347,10164.560000000001,11104.0,1.2147107203853387,1.111941642651297,156.0,150.0,-6.0,24000.0
1124,Cabrillo College,Santa Cruz,Public,44114,13328,19174.56,14959.0,0.6950876578132692,0.8909686476368741,108.0,126.0,18.0,29155.0
1161,Cerritos College,Los Angeles,Public,41156,693,16216.560000000001,17558.0,0.042734094037206405,0.03946918783460531,6.0,4.0,-2.0,23598.0
1162,Chabot College,Alameda,Public,48143,4616,23203.56,21006.0,0.19893499101000017,0.2197467390269447,32.0,36.0,4.0,27137.0
1163,Chaffey College,San Bernardino,Public,42975,5743,18035.56,18975.0,0.3184264863414277,0.3026613965744401,59.0,58.0,-1.0,24000.0
1166,Citrus College,Los Angeles,Public,42065,3800,17125.56,18467.0,0.22189055423589066,0.2057724589808848,40.0,33.0,-7.0,23598.0
1176,Coalinga College,Fresno,Public,37633,8626,12693.560000000001,17575.0,0.6795571927812213,0.4908108108108108,105.0,79.0,-26.0,20058.0
1178,College of Marin,Marin,Public,42654,15517,17714.56,16623.0,0.875946114382745,0.9334656800818144,127.0,133.0,6.0,26031.0
1181,College of San Mateo,San Mateo,Public,54172,1504,29232.56,24172.0,0.05144947962135372,0.06222075128247559,8.0,8.0,0.0,30000.0
1182,College of the Desert,Riverside,Public,39020,11812,14080.560000000001,13063.0,0.8388870897180225,0.9042333307815968,123.0,128.0,5.0,25957.0
1185,College of the Redwoods,Humboldt,Public,36243,3214,11303.560000000001,13733.0,0.28433520059167194,0.23403480667006482,53.0,42.0,-11.0,22510.0
1186,College of the Sequoias,Tulare,Public,39092,29,14152.560000000001,19092.0,0.0020490992442356716,0.0015189608212864028,2.0,2.0,0.0,20000.0
1187,College of the Siskiyous,Siskiyou,Public,39098,7241,14158.560000000001,14158.560000000001,0.5114220655207874,0.5114220655207874,83.0,81.0,-2.0,
1190,Contra Costa College,Contra Costa,Public,40850,6522,15910.560000000001,15850.0,0.4099164328596856,0.4114826498422713,68.0,70.0,2.0,25000.0
1191,Diablo Valley College,Contra Costa,Public,51378,6142,26438.56,26378.0,0.2323121985463656,0.23284555311244218,42.0,41.0,-1.0,25000.0
1192,Cuesta College,San Luis Obispo,Public,46047,12898,21107.56,17933.0,0.6110606815757008,0.7192326994925556,101.0,107.0,6.0,28114.0
1193,Cypress College,Orange,Public,43533,4683,18593.56,15533.0,0.251861397171924,0.3014871563767463,47.0,57.0,10.0,28000.0
1197,El Camino Community College District,Los Angeles,Public,41589,5170,16649.56,17991.0,0.31051871641052375,0.28736590517480964,58.0,54.0,-4.0,23598.0
1199,Foothill College,Santa Clara,Public,57072,7549,32132.56,23572.0,0.23493303988228761,0.32025284235533685,43.0,62.0,19.0,33500.0
1201,Fullerton College,Orange,Public,43366,8090,18426.56,15366.0,0.4390401681051699,0.5264870493296889,70.0,85.0,15.0,28000.0
1202,Gavilan College,Santa Clara,Public,47169,2244,22229.56,13669.0,0.10094666741042108,0.16416709342307412,14.0,25.0,11.0,33500.0
1203,Glendale Community College,Los Angeles,Public,41540,7461,16600.56,17942.0,0.4494426694039237,0.41583992865901237,74.0,71.0,-3.0,23598.0
1206,Golden West College,Orange,Public,43145,2861,18205.56,15145.0,0.15714979379925692,0.18890723010894686,24.0,28.0,4.0,28000.0
1208,Grossmont College,San Diego,Public,40309,2755,15369.560000000001,14352.0,0.17925041445558623,0.19195930880713488,29.0,29.0,0.0,25957.0
1209,Hartnell College,Monterey,Public,44316,2895,19376.56,19376.56,0.1494073251392404,0.1494073251392404,23.0,22.0,-1.0,
1214,Imperial Valley College,Imperial,Public,34487,1697,9547.560000000001,22688.0,0.1777417476297609,0.07479724964739069,28.0,10.0,-18.0,11799.0
1217,Lassen Community College,Lassen,Public,35994,7677,11054.560000000001,11054.560000000001,0.6944645467571753,0.6944645467571753,107.0,106.0,-1.0,
1219,Long Beach City College,Los Angeles,Public,38870,5001,13930.560000000001,15272.0,0.35899490042037074,0.3274620220010477,65.0,66.0,1.0,23598.0
1223,Los Angeles City College,Los Angeles,Public,36190,7532,11250.560000000001,12592.0,0.6694777859946527,0.5981575603557815,103.0,97.0,-6.0,23598.0
1224,Los Angeles Harbor College,Los Angeles,Public,41133,11245,16193.560000000001,17535.0,0.694411852613014,0.6412888508696892,106.0,104.0,-2.0,23598.0
1226,Los Angeles Pierce College,Los Angeles,Public,44521,11196,19581.56,20923.0,0.5717624132091621,0.5351049084739282,91.0,89.0,-2.0,23598.0
1227,Los Angeles Trade Technical College,Los Angeles,Public,35233,10658,10293.560000000001,11635.0,1.0354046607781953,0.9160292221744736,142.0,130.0,-12.0,23598.0
1228,Los Angeles Valley College,Los Angeles,Public,42678,10200,17738.56,19080.0,0.5750184907906842,0.5345911949685535,94.0,88.0,-6.0,23598.0
1229,Southern California University of Health Sciences,Los Angeles,Private non-profit,70649,45633,45709.56,47051.0,0.99832507685482,0.9698624896389024,141.0,135.0,-6.0,23598.0
1232,American River College,Sacramento,Public,40162,4628,15222.560000000001,15162.0,0.30402245088868096,0.30523677615090355,57.0,59.0,2.0,25000.0
1233,Sacramento City College,Sacramento,Public,42214,3974,17274.56,17214.0,0.23004927477168738,0.23085860346229814,41.0,39.0,-2.0,25000.0
1237,Merced College,Merced,Public,37815,4260,12875.560000000001,15397.0,0.33085939563017064,0.276677274793791,62.0,52.0,-10.0,22418.0
1239,MiraCosta College,San Diego,Public,43845,7178,18905.56,17888.0,0.37967666654677246,0.40127459749552774,66.0,69.0,3.0,25957.0
1240,Modesto Junior College,Stanislaus,Public,42368,10176,17428.56,16128.0,0.5838692353240887,0.6309523809523809,95.0,101.0,6.0,26240.0
1242,Monterey Peninsula College,Monterey,Public,42176,13498,17236.56,17236.56,0.7831028929206291,0.7831028929206291,116.0,113.0,-3.0,
1245,Mt San Antonio College,Los Angeles,Public,46283,3107,21343.56,22685.0,0.14557084197762696,0.13696275071633238,21.0,20.0,-1.0,23598.0
1246,Mt San Jacinto Community College District,Riverside,Public,38319,7098,13379.560000000001,12362.0,0.5305107193360619,0.5741789354473387,87.0,93.0,6.0,25957.0
1247,Napa Valley College,Napa,Public,49517,14046,24577.56,24418.0,0.5714969264646287,0.575231386681956,90.0,95.0,5.0,25099.0
1250,Orange Coast College,Orange,Public,47348,4754,22408.56,19348.0,0.21215107084078583,0.24571015091999174,38.0,46.0,8.0,28000.0
1259,Palo Verde College,Riverside,Public,36389,10543,11449.560000000001,10432.0,0.9208214114778209,1.0106403374233128,133.0,141.0,8.0,25957.0
1260,Palomar College,San Diego,Public,42300,5247,17360.56,16343.0,0.3022367942047952,0.32105488588386466,56.0,63.0,7.0,25957.0
1261,Pasadena City College,Los Angeles,Public,43937,3123,18997.56,20339.0,0.16438953212938923,0.15354737204385663,26.0,24.0,-2.0,23598.0
1266,Laney College,Alameda,Public,37282,15805,12342.560000000001,10145.0,1.2805285127234542,1.5579103006407098,157.0,172.0,15.0,27137.0
1267,Merritt College,Alameda,Public,44392,14742,19452.56,17255.0,0.7578436976932599,0.8543610547667343,114.0,122.0,8.0,27137.0
1268,Porterville College,Tulare,Public,36328,3728,11388.560000000001,16328.0,0.32734603848072097,0.22831945124938754,61.0,38.0,-23.0,20000.0
1269,Rio Hondo College,Los Angeles,Public,44950,11903,20010.56,21352.0,0.5948359266307389,0.5574653428250281,96.0,91.0,-5.0,23598.0
1270,Riverside City College,Riverside,Public,41091,4026,16151.560000000001,15134.0,0.24926384819794495,0.26602352319281086,46.0,48.0,2.0,25957.0
1272,San Bernardino Valley College,San Bernardino,Public,39676,8234,14736.560000000001,15676.0,0.5587464102884254,0.525261546312835,89.0,84.0,-5.0,24000.0
1273,San Diego City College,San Diego,Public,38503,818,13563.560000000001,12546.0,0.060308650531276445,0.06520006376534354,9.0,9.0,0.0,25957.0
