UNITID,OPEID6,Institution,City,County,Region,Regional Rank,ROI: Years to Recoup Net Costs,Predominant Award,Sector,Undergraduate Degree-seeking students,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Two Years),ZIP,Latitude,Longitude,VALUE,DENOM,COUNTYFIP,median_earnings_10yr,total_net_price,N_unweighted_x,weight_sum_x,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income,N_unweighted_y,weight_sum_y
123509,7713,Skyline College,San Bruno,San Mateo,Bay Area,1,0.0,Associate's,Public,7132,55702,"$23,226 ",-1180,-2360,94066-1698,37.63042,-122.467335,5922.0,10706.0,81,55702,0,486.0,13004.0,23226.0,25702.0,0.0,0.0,1,1,0,30000.0,486.0,13004.0
111434,6973,Canada College,Redwood City,San Mateo,Bay Area,2,0.0,Associate's,Public,4878,50087,"$17,611 ",10,20,94061-1099,37.44877,-122.265398,4546.0,8026.0,81,50087,20,486.0,13004.0,17611.0,20087.0,0.0011356538527056953,0.0009956688405436352,5,5,0,30000.0,486.0,13004.0
122791,1181,College of San Mateo,San Mateo,San Mateo,Bay Area,3,0.1,Associate's,Public,7359,54172,"$21,696 ",1504,3008,94402-3784,37.535698,-122.334801,5754.0,11121.0,81,54172,3008,486.0,13004.0,21696.0,24172.0,0.13864306784660768,0.12444150256495118,8,10,-2,30000.0,486.0,13004.0
125499,1338,West Valley College,Saratoga,Santa Clara,Bay Area,4,0.2,Associate's,Public,6086,51688,"$19,212 ",1842,3684,95070,37.26398,-122.008324,4248.0,10764.0,85,51688,3684,1488.0,35243.0,19212.0,18188.0,0.19175515302935664,0.20255113261491092,11,17,-6,33500.0,1488.0,35243.0
114938,1202,Gavilan College,Gilroy,Santa Clara,Bay Area,5,0.3,Associate's,Public,4410,47169,"$14,693 ",2244,4488,95020,36.972627,-121.569842,3637.0,6043.0,85,47169,4488,1488.0,35243.0,14693.0,13669.0,0.30545157558020825,0.32833418684614823,16,24,-8,33500.0,1488.0,35243.0
113333,4480,De Anza College,Cupertino,Santa Clara,Bay Area,6,0.4,Associate's,Public,14953,56596,"$24,120 ",4667,9334,95014,37.319914,-122.045783,12032.0,23013.0,85,56596,9334,1488.0,35243.0,24120.0,23096.0,0.3869817578772803,0.4041392448908902,18,31,-13,33500.0,1488.0,35243.0
366401,30357,Las Positas College,Livermore,Alameda,Bay Area,7,0.4,Associate's,Public,6766,51088,"$18,612 ",4175,8350,94551-7650,37.710873,-121.80058,7604.0,8558.0,1,51088,8350,1474.0,38543.0,18612.0,23951.0,0.44863528906082095,0.34862844975157614,20,26,-6,27137.0,1474.0,38543.0
118930,21191,Mission College,Santa Clara,Santa Clara,Bay Area,8,0.6,Associate's,Public,5557,50936,"$18,460 ",5198,10396,95054-1897,37.391935,-121.980783,5093.0,8937.0,85,50936,10396,1488.0,35243.0,18460.0,17436.0,0.5631635969664138,0.5962376691901813,26,53,-27,33500.0,1488.0,35243.0
111920,1162,Chabot College,Hayward,Alameda,Bay Area,9,0.6,Associate's,Public,10861,48143,"$15,667 ",4616,9232,94545,37.642458,-122.105636,11573.0,13197.0,1,48143,9232,1474.0,38543.0,15667.0,21006.0,0.5892640582115274,0.4394934780538894,27,35,-8,27137.0,1474.0,38543.0
114716,1199,Foothill College,Los Altos Hills,Santa Clara,Bay Area,10,0.6,Certificate,Public,10922,57072,"$24,596 ",7549,15098,94022,37.361655,-122.127964,6937.0,16185.0,85,57072,15098,1488.0,35243.0,24596.0,23572.0,0.6138396487233696,0.6405056847106737,28,59,-31,33500.0,1488.0,35243.0
113634,1191,Diablo Valley College,Pleasant Hill,Contra Costa,Bay Area,11,0.6,Associate's,Public,14734,51378,"$18,902 ",6142,12284,94523,37.968516,-122.073142,12923.0,18534.0,13,51378,12284,980.0,28713.0,18902.0,26378.0,0.6498783197545234,0.46569110622488435,30,40,-10,25000.0,980.0,28713.0
123563,1292,Solano Community College,Fairfield,Solano,Bay Area,12,0.7,Associate's,Public,7688,44170,"$11,694 ",3869,7738,94534-3197,38.235881,-122.122368,7710.0,10421.0,95,44170,7738,643.0,16602.0,11694.0,13493.0,0.6617068582178895,0.5734825465055955,31,50,-19,30677.0,643.0,16602.0
123013,1287,Santa Rosa Junior College,Santa Rosa,Sonoma,Bay Area,13,0.8,Certificate,Public,14327,47224,"$14,748 ",5541,11082,95401-4395,38.45709,-122.718974,11433.0,20008.0,97,47224,11082,555.0,15224.0,14748.0,17024.0,0.7514239218877136,0.6509633458646616,38,61,-23,30200.0,555.0,15224.0
112190,4502,City College of San Francisco,San Francisco,San Francisco,Bay Area,14,1.1,Certificate,Public,16060,45805,"$13,329 ",7272,14544,94112-1898,37.725953,-122.451155,13116.0,22077.0,75,45805,14544,417.0,10098.0,13329.0,22897.0,1.0911546252532074,0.6351923832816526,49,58,-9,22908.0,417.0,10098.0
117894,10340,Los Medanos College,Pittsburg,Contra Costa,Bay Area,15,1.1,Associate's,Public,7100,42454,"$9,978 ",5692,11384,94565,38.006474,-121.860967,6939.0,9145.0,13,42454,11384,980.0,28713.0,9978.0,17454.0,1.1409100020044096,0.6522287154806921,53,62,-9,25000.0,980.0,28713.0
114266,12452,Evergreen Valley College,San Jose,Santa Clara,Bay Area,16,1.2,Associate's,Public,7670,53077,"$20,601 ",12591,25182,95135-1598,37.30167,-121.76561,7457.0,11638.0,85,53077,25182,1488.0,35243.0,20601.0,19577.0,1.2223678462210572,1.286305358328651,55,91,-36,33500.0,1488.0,35243.0
120290,4481,Ohlone College,Fremont,Alameda,Bay Area,17,1.3,Associate's,Public,6958,54278,"$21,802 ",14130,28260,94539-0390,37.529931,-121.911795,4469.0,9792.0,1,54278,28260,1474.0,38543.0,21802.0,27141.0,1.296211356756261,1.0412291367304078,58,71,-13,27137.0,1474.0,38543.0
112826,1190,Contra Costa College,San Pablo,Contra Costa,Bay Area,18,1.6,Certificate,Public,4805,40850,"$8,374 ",6522,13044,94806,37.969381,-122.337377,5374.0,7168.0,13,40850,13044,980.0,28713.0,8374.0,15850.0,1.5576785287795558,0.8229652996845426,61,66,-5,25000.0,980.0,28713.0
